"","year","population_with_mental_disorders","minutes_on_social_media"
"1",2012,16.0799841638864,100
"2",2013,16.0740391324066,107.366666666667
"3",2014,16.0700255702464,112.2
"4",2015,16.0698198266239,120.9375
"5",2016,16.0781453675197,136.029411764706
"6",2017,16.0858739879001,136.425
"7",2018,16.0867765702415,139.558139534884
"8",2019,16.0909743394584,140.953488372093
